Is Senior Citizen,Has Partner,Has Dependents,Tenure (Months),Has Phone Service,Has Online Security,Has Online Backup,Has Device Protection,Has Tech Support,Has Streaming TV,Has Streaming Movies,Uses Paperless Billing,Monthly Charges,Total Charges,No Phone Service,Has Multiple Lines,Fiber Internet,No Internet Service,One-Year Contract,Two-Year Contract,Pays by Credit Card (Auto),Pays by Electronic Check,Pays by Mailed Check,Predicted Churn Probability,Risk Segment
0,0,0,1,0,0,0,0,0,0,0,0,29.85,29.85,1,0,0,0,0,0,0,1,0,0.6567528653989333,High Risk
0,0,0,34,0,0,0,0,0,0,0,0,56.95,1889.5,0,0,0,0,1,0,0,0,1,0.054913394581211146,Low Risk
0,0,0,2,0,0,0,0,0,0,0,0,53.85,108.15,0,0,0,0,0,0,0,0,1,0.5685287507308437,Medium Risk
0,0,0,45,0,0,0,0,0,0,0,0,42.3,1840.75,1,0,0,0,1,0,0,0,0,0.05660126466743535,Low Risk
0,0,0,2,0,0,0,0,0,0,0,0,70.7,151.65,0,0,1,0,0,0,0,1,0,0.5346115618944046,Medium Risk
0,0,0,8,0,0,0,0,0,0,0,0,99.65,820.5,0,1,1,0,0,0,0,1,0,0.9202114643128052,High Risk
0,0,0,22,0,0,0,0,0,0,0,0,89.1,1949.4,0,1,1,0,0,0,1,0,0,0.40152830915059456,Medium Risk
0,0,0,10,0,0,0,0,0,0,0,0,29.75,301.9,1,0,0,0,0,0,0,0,1,0.3137139246626993,Medium Risk
0,0,0,28,0,0,0,0,0,0,0,0,104.8,3046.05,0,1,1,0,0,0,0,1,0,0.7169174433203346,High Risk
0,0,0,62,0,0,0,0,0,0,0,0,56.15,3487.95,0,0,0,0,1,0,0,0,0,0.020937302344632796,Low Risk
0,0,0,13,0,0,0,0,0,0,0,0,49.95,587.45,0,0,0,0,0,0,0,0,1,0.08296563959737818,Low Risk
0,0,0,16,0,0,0,0,0,0,0,0,18.95,326.8,0,0,0,1,0,1,1,0,0,0.0016421302290324643,Low Risk
0,0,0,58,0,0,0,0,0,0,0,0,100.35,5681.1,0,1,1,0,1,0,1,0,0,0.22525108294067508,Low Risk
0,0,0,49,0,0,0,0,0,0,0,0,103.7,5036.3,0,1,1,0,0,0,0,0,0,0.5072459801777146,Medium Risk
0,0,0,25,0,0,0,0,0,0,0,0,105.5,2686.05,0,0,1,0,0,0,0,1,0,0.4180880619686524,Medium Risk
0,0,0,69,0,0,0,0,0,0,0,0,113.25,7895.15,0,1,1,0,0,1,1,0,0,0.013583218061508247,Low Risk
